gender,year,ending,counts,prop
F,1896,k,22,9.246650190817235e-05
F,1896,l,12292,0.051663556429784305
F,1896,m,238,0.0010003194297338645
F,1896,n,13165,0.05533279534641314
F,1896,o,292,0.0012272826616902877
F,1896,p,6,2.5218136884047006e-05
F,1896,r,2995,0.012588053327953465
F,1896,s,6818,0.028656209545905417
F,1896,t,5327,0.02238950253021973
F,1896,u,358,0.0015046821674148047
F,1896,x,6,2.5218136884047006e-05
F,1896,y,22385,0.09408466569156537
F,1896,z,417,0.001752660513441267
F,1897,a,72148,0.3080628012929176
F,1897,d,2455,0.010482538354134732
F,1897,e,82783,0.35347290125064584
F,1897,g,34,0.00014517568392691685
F,1897,h,12662,0.0540651326436065
F,1897,i,277,0.001182754836698705
F,1897,k,17,7.258784196345843e-05
F,1897,l,11998,0.05122993693397496
F,1897,m,253,0.0010802778833385283
F,1897,n,13293,0.056759422542367814
F,1897,o,278,0.0011870247097553789
F,1897,r,3011,0.01285658777364549
F,1897,s,6878,0.029368186883803944
F,1897,t,5421,0.02314698184022989
F,1897,u,313,0.0013364702667389699
F,1897,y,21982,0.09386034953180841
F,1897,z,396,0.0016908697304429138
F,1898,a,79150,0.3058688956645065
F,1898,d,2953,0.01141163422485518
F,1898,e,91151,0.35224580806968325
F,1898,g,66,0.0002550517639148127
F,1898,h,13723,0.05303144479095417
F,1898,i,323,0.001248207874916432
F,1898,k,19,7.342399264214305e-05
F,1898,l,13099,0.05062004629575957
F,1898,m,239,0.0009235965390248521
F,1898,n,15351,0.05932272163418621
F,1898,o,282,0.0010897666276360179
F,1898,r,3266,0.012621197893117853
F,1898,s,8025,0.031011975839642
F,1898,t,6119,0.02364639005143544
F,1898,u,377,0.0014568865908467332
F,1898,w,17,6.569515131139115e-05
F,1898,y,24127,0.09323687739352556
F,1898,z,484,0.00187037960204196
F,1899,a,70712,0.3034563260121362
F,1899,d,3028,0.012994481207782956
F,1899,e,81395,0.3493017826642978
F,1899,g,37,0.00015878329084807445
F,1899,h,12441,0.05338980868759173
F,1899,i,313,0.0013432208117688457
F,1899,k,29,0.00012445176850254484
F,1899,l,11604,0.04979787316219069
F,1899,m,224,0.0009612826256748289
F,1899,n,14146,0.06070671438748273
F,1899,o,247,0.0010599857524182265
F,1899,r,2907,0.012475216932306821
F,1899,s,7608,0.03264927775059866
F,1899,t,5539,0.02377028778398606
F,1899,u,316,0.0013560951326484195
F,1899,x,6,2.5748641759147206e-05
F,1899,y,22026,0.09452326389782939
F,1899,z,444,0.0019053994901768931
F,1900,a,89934,0.29990696061332633
F,1900,d,3670,0.012238514304388859
F,1900,e,107080,0.357084499104621
F,1900,g,33,0.00011004658638823769
F,1900,h,15303,0.051031603378763675
F,1900,i,360,0.0012005082151444113
F,1900,k,30,0.00010004235126203426
F,1900,l,14654,0.04886735384646167
F,1900,m,307,0.0010237667279148174
F,1900,n,18269,0.060922457173536795
F,1900,o,348,0.0011604912746395973
F,1900,r,3625,0.012088450777495806
F,1900,s,9453,0.031523344882667
F,1900,t,6965,0.023226499218002288
F,1900,u,350,0.001167160764723733
F,1900,w,6,2.000847025240685e-05
F,1900,y,28876,0.09629409783475004
F,1900,z,610,0.002034194475661363
F,1901,a,72186,0.30159055111530764
F,1901,d,3146,0.013143876566214472
F,1901,e,83223,0.3477027461761179
F,1901,g,39,0.0001629406185894356
F,1901,h,12497,0.05221202334646607
F,1901,i,306,0.001278457161240187
F,1901,k,26,0.00010862707905962373
F,1901,l,11962,0.04997681229658535
F,1901,m,265,0.0011071606134923188
F,1901,n,14800,0.0618338757724012
F,1901,o,273,0.0011405843301260492
F,1901,r,3123,0.013047783380892497
F,1901,s,8150,0.034050411320612824
F,1901,t,5900,0.024649991017376156
F,1901,u,237,0.0009901776052742624
F,1901,w,5,2.0889822896081486e-05
F,1901,y,22727,0.09495260099184878
F,1901,z,486,0.0020304907854991204
F,1902,a,77816,0.2946693981725166
F,1902,d,3499,0.01324982296964166
F,1902,e,92643,0.3508154756720527
F,1902,g,41,0.00015525657095035955
F,1902,h,13649,0.05168529114393799
F,1902,i,400,0.0015146982531742395
F,1902,k,27,0.00010224213208926116
F,1902,l,13092,0.04957607382639286
F,1902,m,268,0.0010148478296267405
F,1902,n,16805,0.06363626036148273
F,1902,o,364,0.001378375410388558
F,1902,r,3301,0.012500047334320412
F,1902,s,9207,0.03486456704243806
F,1902,t,6575,0.02489785253655156
F,1902,u,282,0.0010678622684878389
F,1902,w,12,4.544094759522719e-05
F,1902,y,25568,0.09681951234289739
F,1902,z,530,0.0020069751854558675
F,1903,a,77130,0.2944162824075488
F,1903,d,3844,0.014673099825938254
F,1903,e,90666,0.3460851375698537
F,1903,g,42,0.0001603200293156625
F,1903,h,13695,0.05227578098757138
F,1903,i,425,0.0016222860109322992
F,1903,k,18,6.870858399242678e-05
F,1903,l,12803,0.04887088893639112
F,1903,m,276,0.0010535316212172108
F,1903,n,17218,0.06572357773231136
F,1903,o,379,0.0014466974073960974
F,1903,r,3312,0.012642379454606528
F,1903,s,8972,0.03424741197666962
F,1903,t,6602,0.02520078175100009
F,1903,u,260,0.0009924573243350536
F,1903,y,25829,0.0985930008855773
F,1903,z,505,0.0019276574953430848
F,1904,a,80201,0.2912428506581934
F,1904,d,4260,0.015469813890149797
F,1904,e,94631,0.34364412165229236
F,1904,g,42,0.00015251929187471629
F,1904,h,14337,0.052063549704947795
F,1904,i,431,0.0015651384475714935
F,1904,k,41,0.00014888788016341353
F,1904,l,13301,0.04830140717203813
F,1904,m,272,0.000987743985474353
F,1904,n,18512,0.06722469359963686
F,1904,o,400,0.0014525646845211077
F,1904,r,3473,0.012611892873354517
F,1904,s,10023,0.036397639582387654
F,1904,t,7034,0.025543349977303675
F,1904,u,273,0.000991375397185656
F,1904,w,8,2.905129369042215e-05
F,1904,y,27516,0.099921924648207
F,1904,z,620,0.0022514752610077165
F,1905,a,84080,0.2882996560840211
F,1905,d,4591,0.015741956720762857
F,1905,e,100724,0.34536982111568676
F,1905,g,43,0.00014744154628464447
F,1905,h,15226,0.052208022877441786
F,1905,i,440,0.0015087041945405482
F,1905,k,28,9.600844874348944e-05
F,1905,l,13816,0.04737331170857321
F,1905,m,297,0.00101837533131487
F,1905,n,19608,0.06723334510579788
F,1905,o,420,0.0014401267311523415
F,1905,r,3786,0.012981713819387534
F,1905,s,10449,0.03582829574716861
F,1905,t,7516,0.02577141074128809
F,1905,u,282,0.0009669422337737149
F,1905,w,5,1.7144365847051683e-05
F,1905,x,7,2.4002112185872356e-05
F,1905,y,29693,0.10181353101930113
F,1905,z,630,0.002160190096728512
F,1906,a,83755,0.28362585971601856
F,1906,d,4722,0.01599046396727407
F,1906,e,101128,0.3424573570695663
F,1906,g,45,0.00015238688660045173
F,1906,h,15459,0.052349975110141854
F,1906,i,439,0.0014866187381688514
F,1906,k,26,8.804575670248323e-05
F,1906,l,13781,0.0466676374275739
F,1906,m,354,0.001198776841256887
F,1906,n,21112,0.07149315444241638
F,1906,o,414,0.001401959356724156
F,1906,r,3849,0.013034158367225306
F,1906,s,10808,0.03659994378617072
F,1906,t,8031,0.027195979695293953
F,1906,u,226,0.0007653208082600466
F,1906,w,8,2.7091002062302533e-05
F,1906,x,6,2.03182515467269e-05
F,1906,y,30483,0.103226876983146
F,1906,z,655,0.00221807579385102
F,1907,a,90326,0.28354648133150007
F,1907,d,5110,0.01604103491357932
F,1907,e,108114,0.3393856063887895
F,1907,g,41,0.00012870497680171272
F,1907,h,16497,0.05178648786092328
F,1907,i,516,0.0016197992202361894
F,1907,k,33,0.00010359181059650048
F,1907,l,14576,0.045756188825896695
F,1907,m,379,0.0011897362489719297
F,1907,n,23381,0.07339636738050842
F,1907,o,512,0.0016072426371335831
F,1907,r,4027,0.01264134003854871
F,1907,s,11919,0.037415478499990586
F,1907,t,8882,0.027881892779336885
F,1907,u,257,0.0008067604643424431
F,1907,w,5,1.5695728878257647e-05
F,1907,y,33249,0.10437345789463771
F,1907,z,734,0.0023041329993282226
F,1908,a,93769,0.2805128680704924
F,1908,d,5457,0.016324784534981467
F,1908,e,112484,0.3364993702827296
F,1908,g,53,0.00015855114171779692
F,1908,h,17542,0.05247743637761497
F,1908,i,539,0.0016124351959602367
F,1908,k,40,0.00011966123903229956
F,1908,l,15261,0.04565375422179809
F,1908,m,437,0.0013072990364278725
F,1908,n,25014,0.07483015582884853
F,1908,o,515,0.0015406384525408568
F,1908,r,4303,0.012872557788899624
F,1908,s,12929,0.03867750398621502
F,1908,t,9278,0.027755424393541884
F,1908,u,276,0.0008256625493228669
F,1908,w,9,2.69237787822674e-05
F,1908,x,8,2.3932247806459913e-05
F,1908,y,35571,0.1064117483404482
F,1908,z,792,0.002369292532839531
F,1909,a,96160,0.27696570475617166
F,1909,d,5929,0.01707705556883675
F,1909,e,116731,0.33621551249888393
F,1909,g,44,0.00012673139568710018
F,1909,h,18321,0.05276922500871278
F,1909,i,609,0.0017540777266691822
F,1909,k,18,5.184466187199553e-05
F,1909,l,15178,0.043716570994063786
F,1909,m,421,0.0012125890360061178
