year,gender,name,counts,prop
1964,F,Mary,40978,0.021632527872111628
1964,M,John,82521,0.04141036410770579
1965,F,Mary,34270,0.01941846595818825
1965,M,John,71562,0.03845066835452288
1966,F,Mary,28881,0.017072680519019893
1966,M,John,65043,0.03646772749368264
1967,F,Mary,25317,0.015338281908860907
1967,M,John,61625,0.0353309383782569
1968,F,Mary,21722,0.013245307708583717
1968,M,John,60918,0.035038839055898906
1969,F,Mary,19855,0.011771471596989396
1969,M,John,58777,0.03284868157060256
1970,F,Mary,19199,0.010984597304857333
1970,M,John,58532,0.03148943770705763
1971,F,Mary,16699,0.010041231645844395
1971,M,John,51500,0.02912360567203427
1972,F,Mary,13767,0.009051020220322357
1972,M,John,43163,0.026608054109968204
1973,F,Mary,12321,0.008451121568982511
1973,M,John,39166,0.025129574569378695
1974,F,Mary,11751,0.008008985657979304
1974,M,John,37640,0.023937700925010255
1975,F,Mary,10969,0.007526680294150543
1975,M,John,35086,0.02247117610213542
1976,F,Mary,10325,0.007048493636217174
1976,M,John,33988,0.021660852285835558
1977,F,Mary,10661,0.0069562709533112265
1977,M,John,34213,0.020826700642277842
1978,F,Mary,10047,0.0065613404021049575
1978,M,John,34007,0.020721533711565657
1979,F,Mary,10549,0.006574273271394277
1979,M,John,35417,0.020581933436038636
1980,F,Mary,11469,0.006912121615733288
1980,M,John,35242,0.019772350352448512
1981,F,Mary,11030,0.006617339589508967
1981,M,John,34857,0.01947788516558186
1982,F,Mary,10847,0.006410620105009586
1982,M,John,34672,0.019127880739826176
1983,F,Mary,9889,0.00592338001037445
1983,M,John,33139,0.018506480814443754
1984,F,Mary,9285,0.005518914690714909
1984,M,John,32580,0.01807253977983453
1985,F,Mary,9235,0.005370903486580011
1985,M,John,31479,0.0170510496911972
1986,F,Mary,8499,0.004958423105936631
1986,M,John,30173,0.016403344057600078
1987,F,Mary,8394,0.004831056892975457
1987,M,John,29526,0.015830676211039223
1988,F,Mary,8505,0.00478047475369735
1988,M,John,29380,0.015367250078196185
1989,F,Mary,8641,0.0046884062728390925
1989,M,John,29830,0.014916193295463637
1990,F,Mary,8651,0.004559743123753463
1990,M,John,29064,0.014163259537929993
1991,F,Mary,8743,0.004665147723452732
1991,M,John,27782,0.013760154689061712
1992,F,Mary,8430,0.004574515768784546
1992,M,John,26218,0.01313685012225919
1993,F,Mary,8089,0.004474511767097486
1993,M,John,24975,0.012744219558792312
1994,F,Mary,7722,0.004327488067464429
1994,M,John,24168,0.012519925008923192
1995,F,Mary,7408,0.0042157018961553345
1995,M,John,23209,0.01220177698333421
1996,F,Mary,6926,0.003953916266717513
1996,M,John,22144,0.011699688276007819
